county_name,offense_name,offense_count,offense_rank
APPLING,Drug/Narcotic Violations,59,1
APPLING,All Other Larceny,47,2
APPLING,Burglary/Breaking & Entering,39,3
APPLING,Shoplifting,38,4
APPLING,Simple Assault,36,5
ATKINSON,Drug/Narcotic Violations,44,1
ATKINSON,Drug Equipment Violations,29,2
ATKINSON,Simple Assault,22,3
ATKINSON,Burglary/Breaking & Entering,14,4
ATKINSON,All Other Larceny,12,5
BACON,All Other Larceny,55,1
BACON,Destruction/Damage/Vandalism of Property,29,2
BACON,Intimidation,27,3
BACON,Simple Assault,27,4
BACON,Burglary/Breaking & Entering,26,5
BALDWIN,Simple Assault,505,1
BALDWIN,All Other Larceny,496,2
BALDWIN,Destruction/Damage/Vandalism of Property,344,3
BALDWIN,Intimidation,200,4
BALDWIN,Burglary/Breaking & Entering,161,5
"BANKS, HABERSHAM",Drug/Narcotic Violations,21,1
"BANKS, HABERSHAM",Simple Assault,5,2
"BANKS, HABERSHAM",Destruction/Damage/Vandalism of Property,3,3
"BANKS, HABERSHAM",Criminal Sexual Contact,2,4
"BANKS, HABERSHAM",All Other Larceny,2,5
"BANKS, JACKSON",Drug/Narcotic Violations,5,1
"BANKS, JACKSON",Simple Assault,1,2
BARROW,Drug/Narcotic Violations,503,1
BARROW,All Other Larceny,497,2
BARROW,Simple Assault,458,3
BARROW,Destruction/Damage/Vandalism of Property,387,4
BARROW,Intimidation,379,5
"BARROW, GWINNETT",All Other Larceny,22,1
"BARROW, GWINNETT",Destruction/Damage/Vandalism of Property,21,2
"BARROW, GWINNETT",Drug/Narcotic Violations,16,3
"BARROW, GWINNETT",Simple Assault,10,4
"BARROW, GWINNETT",False Pretenses/Swindle/Confidence Game,8,5
"BARROW, GWINNETT, HALL, JACKSON",Drug/Narcotic Violations,73,1
"BARROW, GWINNETT, HALL, JACKSON",All Other Larceny,62,2
"BARROW, GWINNETT, HALL, JACKSON",Simple Assault,54,3
"BARROW, GWINNETT, HALL, JACKSON",False Pretenses/Swindle/Confidence Game,29,4
"BARROW, GWINNETT, HALL, JACKSON",Destruction/Damage/Vandalism of Property,26,5
BARTOW,All Other Larceny,861,1
BARTOW,Simple Assault,424,2
BARTOW,Destruction/Damage/Vandalism of Property,346,3
BARTOW,Drug/Narcotic Violations,207,4
BARTOW,Shoplifting,194,5
BEN HILL,Intimidation,222,1
BEN HILL,Destruction/Damage/Vandalism of Property,205,2
BEN HILL,All Other Larceny,155,3
BEN HILL,Simple Assault,128,4
BEN HILL,Shoplifting,66,5
BERRIEN,All Other Larceny,109,1
BERRIEN,Drug/Narcotic Violations,97,2
BERRIEN,Simple Assault,82,3
BERRIEN,Intimidation,65,4
BERRIEN,Burglary/Breaking & Entering,63,5
BIBB,Destruction/Damage/Vandalism of Property,2140,1
BIBB,Pocket-picking,1418,2
BIBB,Theft From Motor Vehicle,1230,3
BIBB,Simple Assault,1185,4
BIBB,Motor Vehicle Theft,1178,5
BLECKLEY,Drug/Narcotic Violations,75,1
BLECKLEY,Simple Assault,62,2
BLECKLEY,Destruction/Damage/Vandalism of Property,60,3
BLECKLEY,All Other Larceny,52,4
BLECKLEY,Theft From Motor Vehicle,46,5
BRANTLEY,All Other Larceny,47,1
BRANTLEY,Drug/Narcotic Violations,43,2
BRANTLEY,Intimidation,43,3
BRANTLEY,Burglary/Breaking & Entering,38,4
BRANTLEY,Simple Assault,20,5
BROOKS,Drug/Narcotic Violations,41,1
BROOKS,All Other Larceny,38,2
BROOKS,Burglary/Breaking & Entering,37,3
BROOKS,Theft From Motor Vehicle,32,4
BROOKS,Simple Assault,23,5
BRYAN,Simple Assault,181,1
BRYAN,All Other Larceny,164,2
BRYAN,Destruction/Damage/Vandalism of Property,135,3
BRYAN,Drug/Narcotic Violations,116,4
BRYAN,Intimidation,73,5
BULLOCH,Simple Assault,598,1
BULLOCH,Theft From Motor Vehicle,361,2
